"","growth"
"X1201710252",0.121580482852556
"X1201710258",0.769363942893666
"X1201710262",0.872220705081935
"X1201710264",0.124538212149091
"X1201710265",0.118510805968734
"X1201714080",0.109889950719429
"X1201714081",0.119649717639712
"X1201714082",0.111064896602018
"X1201714083",0.122681074881452
"X1201714084",0.113195117995213
"X1201714087",0.119045362559989
"X1201714088",0.122157020213338
"X1201714089",0.127868713675673
"X1201714090",0.116805636983806
"X1201714091",0.115306385252581
"X1201710583",0.143387268945009
"X1201710584",0.11688665282521
"X1201710585",0.120864594167904
"X1201710586",0.143096962666352
"X1201710588",0.124347130043752
"X1201714092",0.125062512982839
"X1201714093",0.115528534721475
"X1201714094",0.126494436338837
"X1201714095",0.122338924861635
"X1201714096",0.120214425438831
"X1201714097",0.107660497680303
"X1201714099",0.117235301529988
"X1201714100",0.792347125256665
"X1201714101",0.816374192048549
"X1201714102",0.113143780687693
"X1201714103",0.115165256389671
"X1201714105",0.116221254834085
"X1201714106",0.114942484769688
"X1201714107",0.113707108903452
"X1201714108",0.115584288144403
"X1201714110",0.834743731444367
"X1201714111",0.121129720172954
"X1201714113",0.85160943907987
"X1201714116",0.817354216408736
"X1201714117",0.128775553388977
"X1201714118",0.11179764395049
"X1201714119",0.113604374490128
"X1201714120",0.885344078866949
"X1201714122",0.127543271191264
"X1201714125",0.111780106656809
"X1201714126",0.796304374800122
"X1201714127",0.787191000413648
"X1201714129",0.818476755247187
"X1201714130",0.118466649563445
"X1201714131",0.792449101605212
"X1201714132",0.769783821075336
"X1201714133",0.114983923850154
"X1201714135",0.117703130320218
"X1201714136",0.127371694877635
"X1201714137",0.123551330254998
"X1201714138",0.113951669849124
"X1201714140",0.11441903204223
"X1201714142",0.120400181132234
"X1201714144",0.165426598219045
"X1201714145",0.118140747045509
"X1201714146",0.111264967957416
"X1201714147",0.134251046978782
"X1201710589",0.11870225623127
"X1201710590",0.127457673490312
"X1201710591",0.119020578086368
"X1201710593",0.116868797457739
"X1201710594",0.118214497053868
"X1201714148",0.114068414091108
"X1201714149",0.115353739082369
"X1201714150",0.114307719953191
"X1201714152",0.110018686691749
"X1201714154",0.840169151492666
"X1201714155",0.839537255954845
"X1201714156",0.108721751463717
"X1201714157",0.114101619116637
"X1201714158",0.130535163795276
"X1201714159",0.124817238184417
"X1201714160",0.111212807304193
"X1201714161",0.11528591427904
"X1201714162",0.836693493967811
"X1201714163",0.112910015991525
"X1201714164",0.116960251627882
"X1201714166",0.120122987565135
"X1201714167",0.786902155933128
"X1201714168",0.129350898768275
"X1201714169",0.130184108817151
"X1201714170",0.820137418222042
"X1201714171",0.114607234416651
"X1201714172",0.779328186287575
"X1201714173",0.837188793230251
"X1201714174",0.125607753043982
"X1201714175",0.123649804000101
"X1201714176",0.110822240825411
"X1201714177",0.112234578485157
"X1201714178",0.186402404884952
"X1201714179",0.113006705943209
"X1201714531",0.128125785071663
"X1201714534",0.835222645318083
"X1201714535",0.112586370236388
"X1201714536",0.118787928718896
"X1201714537",0.785587266998694
"X1201714538",0.126075207663995
"X1201714539",0.807146396496565
"X1201714541",0.117234879190243
"X1201714543",0.82051868053074
"X1201714544",0.117690714126101
"X1201710289",0.125307274678385
"X1201710292",0.824464424837411
"X1201710295",0.117067305723175
"X1201710296",0.121241987033387
"X1201710304",0.875545017207841
"X1201714545",0.120440609728712
"X1201714549",0.11242517668859
"X1201714550",0.119050481589465
"X1201714553",0.112478921344179
"X1201714554",0.127531927862527
"X1201714555",0.120155339588741
"X1201714556",0.109782626729179
"X1201714557",0.119781578138989
